sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_name
5.1,3.5,1.4,0.2,0,setosa
4.7,3.2,1.3,0.2,0,setosa
5.0,3.6,1.4,0.2,0,setosa
4.6,3.4,1.4,0.3,0,setosa
4.4,2.9,1.4,0.2,0,setosa
5.4,3.4,1.7,0.2,0,setosa
5.0,3.2,1.2,0.2,0,setosa
5.1,3.4,1.5,0.2,0,setosa
5.2,2.7,3.9,1.4,1,versicolor
5.7,2.6,3.5,1.0,1,versicolor
6.0,3.4,4.5,1.6,1,versicolor
5.5,2.5,4.0,1.3,1,versicolor
7.7,2.8,6.7,2.0,2,virginica
7.4,2.8,6.1,1.9,2,virginica
6.1,2.6,5.6,1.4,2,virginica
6.9,3.1,5.4,2.1,2,virginica
